Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Lucas Hernandez,Atletico Madrid,21,Defender,67,46,58,65,76,27,33,74,7,10,0,1,8,2,0,0,0,0,10,0,15,3.9333333333,0,0,3,0,0,0,0,0,6,0,10,3.3
Lucas Orban,Racing Club de Avellaneda,28,Defender,67,57,64,67,74,59,58,75,9,15,0,0,2,4,1,1,0,0,18,1,11,0.9090909091,0,0,2,6,1,2,0,0,18,0,10,0.9
Luisinho,RC Deportivo de La Coruna,32,Defender,78,77,68,77,77,66,64,74,8,12,0,2,4,6,0,5,0,0,41,0,26,1.7307692308000002,0,0,3,6,0,4,0,0,27,0,20,1.35
Lukas Klunter,1. FC Koln,21,Defender,68,66,55,68,66,44,43,59,5,6,1,1,3,4,0,0,0,0,11,0,8,3.25,0,0,0,0,0,0,0,0,1,0,1,1.0
Luke Shaw,Manchester United,21,Defender,75,77,64,78,78,73,65,74,12,7,0,1,3,1,0,5,0,0,9,0,11,3.1818181818,0,1,3,1,0,0,0,0,3,0,5,4.6
Mamadou Sakho,Crystal Palace,27,Defender,73,50,68,61,81,32,49,78,12,8,0,0,4,0,0,1,0,0,7,0,8,3.625,1,0,5,1,0,2,0,0,31,0,22,2.4090909091
Manuel Pasqual,Empoli,35,Defender,77,70,77,75,70,64,70,70,5,7,2,3,9,7,0,2,0,0,47,0,32,2.78125,0,2,3,5,0,5,0,0,15,0,17,2.7058823529000002
Marc Muniesa,Girona CF,25,Defender,72,63,56,73,78,61,61,74,12,10,1,0,3,2,0,0,0,0,7,0,10,3.5,0,0,0,2,0,1,0,0,29,0,15,0.8
Marc Wilson,Sunderland,29,Defender,64,63,67,67,74,56,68,74,6,9,0,0,0,3,0,3,0,0,8,0,4,0.0,0,0,0,0,0,0,0,0,8,0,4,0.25
Marcel Schmelzer,Borussia Dortmund,29,Defender,74,63,66,71,78,54,52,79,10,8,0,1,3,3,0,6,0,0,31,1,27,2.1481481481,0,4,7,2,0,1,0,0,25,0,26,3.1538461538
Marcel Tisserand,VfL Wolfsburg,24,Defender,70,66,72,71,70,68,70,73,15,14,0,1,4,10,0,2,0,0,50,0,29,3.1607142857,1,0,8,6,0,3,0,0,47,0,33,2.2424242424000003
Marco Andreolli,Cagliari,31,Defender,55,49,55,55,78,33,28,80,11,14,1,0,0,0,0,1,0,0,8,0,6,2.1666666667,0,0,0,2,0,2,0,0,11,0,6,0.4166666667
Marco Russ,Eintracht Frankfurt,31,Defender,69,39,67,44,70,34,51,76,6,11,0,0,0,1,0,2,0,0,6,0,4,1.25,3,2,6,9,0,2,0,0,40,0,28,2.6071428571
Marcos Rojo,Manchester United,27,Defender,72,67,73,68,80,57,57,79,8,10,1,0,8,5,0,1,0,0,15,0,21,3.3333333332999997,0,1,5,3,0,6,0,0,13,0,16,3.3125
Mariano,Olympique Lyonnais,23,Defender,64,71,40,72,33,75,58,30,14,15,0,2,11,10,0,1,0,0,36,0,31,2.7741935483999995,0,3,8,6,0,1,0,0,26,0,23,2.8695652174
Mario Rui,Napoli,26,Defender,73,71,71,73,73,59,60,72,5,14,0,0,2,1,0,0,0,0,3,0,5,3.2,0,1,12,6,0,0,0,0,45,0,36,2.6666666667
Marios Oikonomou,Ferrara (SPAL),24,Defender,56,56,60,60,76,20,30,78,3,3,0,0,1,1,0,0,0,0,30,0,18,1.2777777778,0,1,3,6,0,0,0,0,31,0,21,1.7619047619
Markel Bergara,Getafe CF,31,Defender,77,58,76,63,79,59,76,69,15,16,0,0,0,0,0,1,0,0,9,0,6,1.1666666667,1,0,4,7,0,6,0,0,25,0,20,2.2
Markus Suttner,Brighton & Hove Albion,30,Defender,73,72,65,72,69,51,65,69,13,15,4,5,1,10,0,4,0,0,51,1,30,2.1666666667,0,0,4,2,0,3,0,0,21,0,18,2.2777777778
Marquinhos,Paris Saint-Germain,23,Defender,80,65,78,76,84,46,51,85,6,13,3,0,12,1,0,0,0,0,23,0,29,3.9310344828,1,0,10,1,0,2,0,0,15,0,29,3.5517241379000004
Martin Caceres,Hellas Verona,30,Defender,65,60,65,64,80,50,58,80,3,4,0,0,0,0,0,0,0,0,1,0,1,2.0,0,0,1,0,0,2,0,0,3,0,6,3.3333333332999997
Martin Hinteregger,FC Augsburg,24,Defender,63,55,81,62,76,61,65,78,14,10,3,0,7,5,0,1,0,0,38,0,30,2.8,0,0,1,0,0,1,0,0,15,2,10,0.9
Martin Kelly,Crystal Palace,27,Defender,68,59,64,67,71,42,39,72,11,8,0,2,2,4,0,10,0,0,53,0,29,1.3448275862,0,0,3,3,0,0,0,0,19,0,13,1.8461538462
Martin Olsson,Swansea City,29,Defender,69,72,66,70,69,69,66,74,9,12,2,0,4,2,0,2,0,0,19,0,15,3.0,1,2,3,2,0,2,0,0,43,0,24,1.8333333333000001
Marvin Matip,FC Ingolstadt 04,31,Defender,67,46,63,61,77,41,48,73,16,13,0,0,4,5,0,1,0,0,53,1,33,1.5151515152000001,2,1,10,6,0,0,0,0,40,0,33,2.8787878788
Mateo Musacchio,Milan,26,Defender,78,43,70,73,85,50,64,85,11,12,0,2,9,8,0,1,0,0,22,0,23,3.1304347826,1,0,7,1,0,3,0,0,4,0,13,4.7692307692
Mathieu Debuchy,Arsenal,31,Defender,75,72,73,73,74,63,64,78,9,10,0,0,0,0,0,1,0,0,1,0,1,2.0,0,0,1,1,0,5,0,0,18,0,11,1.6388888889
Mathieu Deplagne,ES Troyes AC,25,Defender,60,30,57,60,75,41,55,71,11,10,0,0,2,5,0,7,0,0,34,0,19,1.1052631579,0,0,4,6,0,6,0,0,32,0,25,1.84
Mathieu Peybernes,Goztepe,26,Defender,63,44,59,60,78,40,37,78,9,7,0,0,7,6,0,3,0,0,53,0,37,1.972972973,0,0,9,3,0,3,0,0,26,0,25,2.84
Matias Silvestre,Sampdoria,32,Defender,64,48,68,62,71,47,50,76,5,5,0,3,6,3,0,0,0,0,53,0,36,2.1944444444,0,0,2,7,0,0,0,0,41,0,25,1.28
Matija Nastasic,FC Schalke 04,24,Defender,69,35,67,64,78,30,55,81,16,13,0,0,6,6,0,0,0,0,25,0,22,2.3636363636,0,0,0,0,0,1,0,0,0,0,1,4.0
Mats Hummels,FC Bayern Munich,28,Defender,80,68,85,77,89,56,79,85,6,6,1,1,9,4,0,3,0,0,16,0,27,3.5925925926,2,2,12,1,0,4,0,0,30,1,30,3.5666666667
Matt Targett,Southampton,21,Defender,64,64,62,61,67,49,40,64,15,14,0,0,1,0,0,1,0,0,5,0,5,2.6,0,1,6,1,0,5,0,0,12,0,14,3.6428571429
Matteo Darmian,Manchester United,27,Defender,76,74,66,75,79,64,63,81,7,7,0,0,8,3,0,3,0,0,10,0,18,3.5,1,0,8,8,0,11,0,0,21,0,28,3.1428571429
Matthew Pennington,Leeds United,22,Defender,60,46,53,54,59,31,31,67,12,11,1,0,0,0,0,1,0,0,6,0,3,2.3333333333,0,0,0,1,0,1,0,0,7,0,4,1.25
Matthias Ginter,Borussia Monchengladbach,23,Defender,74,61,74,72,78,55,68,76,10,10,0,1,7,4,0,1,0,0,35,0,29,2.4137931034,3,5,7,0,0,4,0,0,23,0,24,4.1666666667
Matthias Ostrzolek,Hannover 96,27,Defender,69,70,64,74,64,56,56,75,8,14,1,1,6,4,0,3,0,0,34,0,24,2.5,0,2,8,5,0,1,0,0,44,0,32,2.40625
Matthieu Saunier,Granada CF,27,Defender,70,50,71,63,77,18,45,71,12,14,0,1,2,4,0,4,0,0,28,1,16,1.375,0,0,3,3,0,3,0,0,60,2,28,0.8571428570999999
Mattia De Sciglio,Juventus,24,Defender,72,74,68,75,72,64,60,72,3,3,0,2,7,4,0,3,0,0,32,0,25,2.6,0,1,2,3,0,3,0,0,32,0,22,1.8636363636000002
Mauricio Lemos,UD Las Palmas,21,Defender,68,68,61,75,80,43,44,78,6,13,5,0,3,6,0,3,0,0,48,0,23,2.0434782609,0,0,2,5,0,1,0,0,11,0,10,2.0
Mauro Dos Santos,CD Leganes,27,Defender,68,39,56,66,73,42,41,73,14,12,0,0,0,1,0,1,0,0,22,0,11,0.8181818181999999,0,1,6,7,0,1,0,0,48,1,30,1.7333333333
Maxime Le Marchand,OGC Nice,27,Defender,77,62,78,68,77,27,67,75,13,15,0,0,1,1,0,1,0,0,11,1,10,1.7,1,0,8,5,1,4,0,0,25,0,26,3.0
Maxime Poundje,Girondins de Bordeaux,24,Defender,68,70,60,71,67,64,57,68,11,12,0,0,2,0,0,1,0,0,10,0,7,2.4285714286,0,1,4,3,0,0,0,0,25,0,14,2.0714285714
Maya Yoshida,Southampton,28,Defender,63,57,52,63,70,42,50,76,16,13,1,0,7,2,0,0,0,0,32,0,23,2.652173913,1,0,4,0,0,2,0,0,22,0,20,2.45
Mehdi Zeffane,Stade Rennais FC,25,Defender,67,65,56,66,68,45,58,65,12,10,0,0,0,0,0,1,0,0,3,0,1,0.0,1,1,0,1,0,5,0,0,21,0,16,1.875
Mergim Mavraj,Hamburger SV,31,Defender,65,29,45,63,69,20,49,80,10,10,0,0,8,5,0,0,0,0,43,0,30,2.2,0,0,2,1,0,0,0,0,12,0,12,2.3333333333
Mexer,Stade Rennais FC,28,Defender,75,59,55,69,78,43,61,77,14,11,1,1,5,3,0,2,0,0,27,0,23,2.6086956521999998,0,0,2,4,0,4,0,0,25,0,16,1.5625
Michel Morganella,Palermo,28,Defender,66,69,66,69,69,61,59,69,13,8,0,0,0,3,0,3,0,0,31,0,11,-0.45454545450000006,0,1,5,4,1,1,0,0,27,0,14,1.6428571428999998
Mickael Le Bihan,OGC Nice,27,Defender,55,70,54,71,56,77,60,39,16,13,3,0,0,0,0,0,0,0,11,0,10,2.7,1,1,0,0,0,1,0,0,3,0,3,4.0
Miguel Britos,Watford,31,Defender,60,47,64,58,75,24,31,75,13,11,1,2,5,8,0,3,0,0,38,0,27,2.2962962963,0,0,7,7,0,3,0,0,31,0,24,2.2916666667
Miguel Torres,Malaga CF,31,Defender,70,57,59,74,79,44,56,78,13,10,0,0,2,3,0,3,0,0,39,0,22,1.1818181818,0,2,4,9,0,2,0,0,24,0,23,2.3913043478000002
Mikel Gonzalez,Real Zaragoza,31,Defender,63,44,53,54,73,42,40,78,16,14,0,0,2,2,0,2,0,0,12,0,9,2.1111111111,0,0,7,1,0,2,0,0,25,0,19,2.6315789474
Mikel San Jose,Athletic Club de Bilbao,28,Defender,83,70,82,79,83,70,77,72,6,16,4,1,5,9,0,5,0,0,40,0,35,2.6571428571,2,3,8,6,1,4,0,0,36,0,34,2.9705882352999997
Milan Bisevac,FC Metz,33,Defender,70,48,72,65,73,58,57,72,8,15,0,0,4,4,1,1,0,0,43,0,21,1.1904761904999999,1,0,6,1,0,2,0,0,19,0,17,3.3787878788
Milan Gajic,Girondins de Bordeaux,21,Defender,70,70,60,69,72,66,59,73,8,6,0,0,5,5,0,0,0,0,17,0,14,2.4285714286,1,0,1,0,0,4,0,0,10,0,9,2.7777777778
Milan Skriniar,Inter,22,Defender,67,42,61,65,75,36,41,75,13,12,0,0,6,5,1,0,0,0,53,0,35,1.7428571429,0,0,0,0,1,0,0,0,8,0,3,-1.0
Milos Veljkovic,SV Werder Bremen,21,Defender,69,52,64,64,75,37,47,74,7,11,0,0,3,5,0,4,0,0,45,0,25,1.2,0,0,0,0,0,1,0,0,7,0,3,0.0
Molla Wague,Watford,26,Defender,46,36,51,51,71,29,36,75,9,6,0,0,0,2,0,0,0,0,11,0,6,0.8333333333,0,0,6,6,0,2,0,0,32,0,21,2.0
Nacho Monreal,Arsenal,31,Defender,77,73,61,77,83,64,66,80,5,5,0,2,11,5,0,1,0,0,43,0,36,2.75,0,3,17,1,0,0,0,0,34,0,37,3.6756756757
Nathan Ake,Bournemouth,22,Defender,75,63,72,69,76,44,53,75,7,10,3,1,3,1,0,0,0,0,20,0,12,3.3333333332999997,1,1,7,4,1,1,0,0,31,0,24,2.4583333333
Nathaniel Chalobah,Watford,22,Defender,78,74,79,76,70,62,76,72,9,8,0,1,0,2,0,1,0,0,6,0,10,2.3,0,0,0,0,0,0,0,0,3,0,5,1.8
Nathaniel Clyne,Liverpool,26,Defender,77,76,67,76,79,72,64,81,11,7,0,2,12,0,0,1,0,0,41,0,37,3.027027027,1,1,10,6,0,0,0,0,45,0,33,2.6060606061000002
Neil Taylor,Aston Villa,28,Defender,70,68,70,72,76,60,64,75,16,6,0,0,1,1,0,2,0,0,28,0,11,0.6363636364,0,1,8,4,0,1,0,0,49,0,34,2.2058823529
Nenad Tomovic,Chievo Verona,29,Defender,64,62,66,68,76,56,46,76,12,5,0,1,5,11,0,5,0,0,37,0,25,1.8,0,0,6,5,0,2,0,0,28,0,23,2.1739130435
Neven Subotic,Borussia Dortmund,28,Defender,50,39,66,41,76,48,44,80,5,6,0,0,1,1,0,0,0,0,21,0,12,1.25,0,0,3,2,0,0,0,0,2,0,6,3.8333333332999997
Nico Elvedi,Borussia Monchengladbach,20,Defender,67,66,61,70,75,49,58,74,15,9,0,0,5,4,0,6,0,0,40,0,25,1.8,0,2,4,2,0,3,0,0,28,0,21,2.3333333333
Nicolas Burdisso,Torino,36,Defender,54,40,65,52,77,25,38,79,13,12,0,1,8,10,0,1,0,0,62,0,36,1.75,0,0,9,7,1,1,0,0,33,0,28,2.4285714286
Nicolas Otamendi,Manchester City,29,Defender,71,41,66,64,85,49,45,81,5,12,1,1,9,9,0,1,0,0,28,0,30,2.9666666667,1,0,11,9,0,1,0,0,35,0,30,2.8
Nicolas Pallois,FC Nantes,29,Defender,68,57,68,60,75,22,52,75,16,6,2,1,10,9,1,0,0,0,38,0,31,2.7741935483999995,1,1,4,3,1,1,0,0,25,1,17,2.1764705882
Nicolas Pareja,Sevilla FC,33,Defender,76,59,77,78,80,43,56,77,14,13,1,1,5,6,1,7,0,0,40,0,27,2.1481481481,0,0,0,0,0,1,0,0,5,0,2,0.0
Nicolas Spolli,Genoa,34,Defender,45,45,45,49,79,20,25,79,7,14,0,0,4,9,0,1,0,0,31,0,21,1.4761904762,0,0,2,6,0,1,0,0,18,0,14,1.7142857143
Niklas Moisander,SV Werder Bremen,31,Defender,76,68,72,72,72,60,69,76,9,7,0,1,6,5,0,0,0,0,48,0,30,1.9,0,0,5,4,1,0,0,0,31,1,22,1.6818181818
Niklas Stark,Hertha BSC Berlin,22,Defender,77,65,67,72,79,62,72,78,15,13,1,0,6,6,0,5,0,0,33,0,27,2.5185185185,2,0,5,3,0,1,0,0,26,0,21,2.6666666667
Niklas Sule,FC Bayern Munich,21,Defender,76,42,61,63,82,26,30,81,7,15,2,2,11,4,0,2,0,0,36,1,33,3.2121212120999996,0,1,6,4,0,0,0,0,50,0,33,2.0
Nikola Maksimovic,Napoli,25,Defender,59,49,59,61,80,29,31,81,9,15,1,0,0,1,0,0,0,0,13,0,8,1.75,0,1,2,3,0,0,0,0,25,0,16,1.8125
Norbert Gyomber,Bari,24,Defender,54,43,53,55,76,15,21,74,8,11,0,0,1,4,0,3,0,0,22,0,10,0.7,0,0,0,1,0,0,0,0,7,0,6,1.0
Olivier Boscagli,Nimes Olympique,19,Defender,68,66,64,69,72,59,63,72,7,12,0,0,0,0,0,0,0,0,2,0,1,0.0,1,0,1,4,0,0,0,0,17,0,12,1.6666666666999999
Omer Toprak,Borussia Dortmund,27,Defender,74,64,69,72,84,35,59,86,8,15,1,0,4,6,0,5,0,1,43,0,25,1.68,1,0,5,2,0,6,0,0,21,0,19,2.7894736842000003
Oscar Duarte,RCD Espanyol,28,Defender,70,48,55,59,74,35,39,78,9,14,0,0,1,4,0,1,0,0,27,0,15,1.0666666667,1,0,2,5,0,1,0,0,25,1,14,1.3571428571000002
Oscar Wendt,Borussia Monchengladbach,31,Defender,77,73,76,77,71,77,72,76,12,11,2,2,8,3,0,4,0,0,39,0,28,3.0,3,2,4,5,0,1,0,0,46,0,30,2.4333333333000002
Oswaldo Vizcarrondo,ES Troyes AC,33,Defender,63,26,64,44,78,26,16,70,15,6,0,0,5,10,0,0,0,0,23,0,20,1.95,0,0,11,7,0,1,0,0,37,0,31,2.6451612903
Pablo Martinez,RC Strasbourg,28,Defender,62,52,57,59,58,29,43,64,14,16,0,0,2,4,0,3,0,0,14,0,9,1.3333333333,0,1,5,3,0,4,0,0,45,1,28,1.75
Pablo Zabaleta,West Ham United,32,Defender,72,73,64,75,84,71,66,78,14,5,1,1,2,2,0,3,0,0,25,0,20,2.0,0,2,3,3,0,1,0,0,16,0,13,2.7692307692
Paddy McNair,Sunderland,22,Defender,70,65,69,65,73,51,60,73,8,14,0,0,0,0,0,5,0,0,13,1,9,0.8888888889,0,0,0,0,0,2,0,0,8,0,8,1.625
Paolo Cannavaro,Sassuolo,36,Defender,62,45,68,60,80,35,50,74,8,5,1,0,0,2,0,1,0,0,32,0,18,1.2777777778,0,1,8,8,0,2,0,0,32,0,31,2.5806451613
Pape Souare,Crystal Palace,27,Defender,70,73,68,71,67,73,64,71,8,10,0,0,0,0,0,1,0,0,3,0,3,2.0,0,1,7,5,1,1,0,0,45,1,34,2.0588235294
Patrice Evra,Olympique de Marseille,36,Defender,75,74,69,75,82,68,62,77,5,3,1,0,4,3,0,7,0,0,17,0,17,2.6287878788,2,3,12,6,0,3,0,0,14,0,26,4.3846153846
Patrick Herrmann,Borussia Monchengladbach,26,Defender,77,82,64,79,29,80,76,27,13,7,1,1,0,1,0,9,0,0,29,0,18,1.6111111111,3,1,1,0,0,4,0,0,23,0,18,2.3888888889
Patrick van Aanholt,Crystal Palace,26,Defender,73,74,74,72,67,73,64,65,15,6,5,1,3,3,0,4,0,0,58,0,32,2.21875,4,3,6,2,0,0,0,0,56,0,33,2.6666666667
Paul Baysse,Malaga CF,29,Defender,74,62,70,65,74,48,60,78,15,11,2,1,9,2,0,0,0,0,20,0,22,3.7272727273000004,0,1,12,2,1,0,0,0,28,0,30,3.1666666667000003
Paul Verhaegh,VfL Wolfsburg,33,Defender,75,72,68,71,81,51,60,77,10,12,3,2,8,4,0,2,0,1,47,0,31,2.7419354839,6,2,8,8,0,1,0,0,35,1,25,3.6
Pedro Mendes,Montpellier Herault SC,26,Defender,45,60,50,60,74,25,32,75,6,10,0,0,6,6,0,2,0,0,20,0,19,2.6315789474,0,0,3,5,0,2,0,0,29,0,22,1.8181818182
Pedro Pereira,SL Benfica,19,Defender,64,65,57,68,67,65,55,70,6,12,0,0,2,5,0,1,0,0,14,0,12,1.6666666666999999,0,1,0,0,0,3,0,0,16,0,9,1.4444444444
Per Mertesacker,Arsenal,32,Defender,66,39,58,64,86,43,58,85,13,8,0,0,0,0,0,0,0,0,1,0,1,1.0,0,0,9,1,1,1,0,0,24,0,24,3.0
Peter Pekarik,Hertha BSC Berlin,30,Defender,75,73,64,76,69,54,49,79,12,10,1,1,10,3,0,3,0,0,45,0,31,2.6451612903,0,1,3,1,0,1,0,0,16,0,12,2.6666666667
Phil Jones,Manchester United,25,Defender,75,60,67,68,82,42,59,78,8,11,0,0,5,2,0,1,0,0,14,0,18,3.0,0,0,2,0,0,2,0,0,8,0,10,2.7
Philipp Max,FC Augsburg,23,Defender,69,72,59,74,67,58,54,67,12,11,1,2,2,4,0,9,0,0,39,1,25,1.84,0,0,9,3,0,3,0,0,38,0,26,2.3846153846
Philipp Wollscheid,FC Metz,28,Defender,68,33,60,46,74,38,52,74,7,13,0,0,2,1,0,0,0,0,16,0,9,1.0714285714,0,0,10,2,0,1,0,0,44,0,31,2.4516129032
Pierre Bengtsson,FC Kbenhavn,29,Defender,73,69,69,73,63,66,64,68,10,11,1,1,7,0,0,2,0,0,44,1,30,2.3666666667,0,0,4,1,0,2,0,0,21,0,16,2.25
Pierre-Yves Polomat,AJ Auxerre,23,Defender,65,62,59,63,65,52,57,65,10,16,0,1,1,2,0,0,0,0,14,0,12,2.0,0,0,3,2,0,0,0,0,16,0,15,2.2
Presnel Kimpembe,Paris Saint-Germain,21,Defender,69,60,59,70,78,34,39,79,8,9,0,0,13,7,0,0,0,0,9,0,19,4.2105263158,0,0,4,1,0,1,0,0,2,0,6,4.3333333333
Prince Oniangue,Wolverhampton Wanderers,28,Defender,70,65,66,69,71,66,68,67,12,11,3,0,1,2,0,3,0,0,28,0,15,2.2,4,1,2,3,0,4,0,0,39,1,27,2.2962962963
Rafael Da Silva,Urawa Red Diamonds,25,Defender,65,73,61,74,25,67,72,27,8,7,0,3,8,7,0,3,0,0,37,0,27,2.5185185185,1,2,2,8,0,6,0,0,29,0,21,2.1904761905
Rafael Toloi,Atalanta,26,Defender,63,55,65,62,80,36,48,78,12,8,0,0,11,7,0,2,0,0,37,0,32,2.65625,1,0,6,7,0,2,0,0,34,1,24,2.0416666667
Ramiro Funes Mori,Everton,26,Defender,67,63,55,68,74,49,47,75,9,7,0,1,7,0,0,0,0,0,24,0,23,2.8260869564999997,4,1,6,4,1,0,0,0,43,0,28,2.5357142857
Ramy Bensebaini,Stade Rennais FC,22,Defender,65,65,62,67,75,44,55,71,13,14,0,0,7,5,2,4,0,0,28,0,25,2.24,2,0,0,7,0,6,0,0,28,0,22,1.7272727273
Raphael Guerreiro,Borussia Dortmund,23,Defender,83,83,74,83,85,76,79,74,6,8,6,2,1,0,0,9,0,0,28,0,24,3.4166666667000003,3,1,4,3,0,6,0,0,47,0,34,2.3235294118
Raphael Varane,Real Madrid CF,24,Defender,75,57,76,77,82,44,56,84,11,14,1,2,7,1,0,4,0,0,19,0,23,3.5652173913,0,0,9,6,0,0,0,0,24,0,26,2.8076923077
Raul Albiol,Napoli,31,Defender,71,54,65,67,83,30,49,85,6,8,0,1,9,8,0,1,0,0,27,0,27,2.8148148148,1,1,14,10,0,0,0,0,31,1,36,3.1666666667000003
Renato Civelli,Banfield,33,Defender,58,31,56,62,71,46,48,77,6,10,1,0,3,4,0,0,0,0,18,0,13,2.3076923077,0,0,14,6,2,1,0,0,24,0,32,3.1875
Ricardo Rodriguez,Milan,24,Defender,78,76,79,78,81,68,74,76,13,11,2,3,7,1,0,2,0,0,40,0,25,2.96,2,3,4,3,0,1,0,0,38,0,24,2.5416666667
Riccardo Fiamozzi,Bari,24,Defender,66,63,66,61,55,53,51,61,15,15,0,0,1,0,0,0,0,0,1,0,4,3.25,0,0,2,1,0,1,0,0,14,0,8,1.5
Roberto Gagliardini,Inter,23,Defender,80,76,74,78,79,70,78,70,6,9,2,3,6,7,0,5,0,0,38,0,31,2.7419354839,0,0,0,0,0,1,0,0,1,0,1,2.0
Roberto Rosales,Malaga CF,28,Defender,75,77,68,79,73,69,63,66,12,8,1,2,6,5,0,0,0,0,47,0,32,2.28125,0,3,12,5,0,1,0,0,32,0,35,3.2285714286
Roberto Vitiello,Ternana,34,Defender,55,47,54,61,76,44,48,71,7,6,0,0,0,2,0,4,0,0,13,0,5,0.0,0,0,3,3,1,1,0,0,12,1,10,1.8
Rodrigo Ely,Deportivo Alaves,23,Defender,54,50,52,52,74,22,22,77,10,11,1,0,3,4,0,1,0,0,9,0,10,1.45,0,0,0,2,0,0,0,0,7,1,3,-1.3333333333
Rolando,Olympique de Marseille,31,Defender,68,57,65,63,77,45,47,75,8,15,4,0,14,2,0,0,0,0,32,0,30,3.9,1,0,2,4,0,1,0,0,26,0,20,2.0
Romain Bregerie,FC Ingolstadt 04,30,Defender,63,46,61,55,66,33,51,71,11,14,3,0,1,3,1,0,0,0,26,0,17,2.1764705882,0,0,2,3,1,2,0,0,21,0,22,1.8636363636000002
Romain Genevois,SM Caen,29,Defender,64,56,55,59,68,19,55,70,8,13,0,0,3,1,0,2,0,0,22,0,12,1.6666666666999999,1,0,2,4,0,1,0,0,14,1,14,2.2142857143
Romain Thomas,Angers SCO,29,Defender,76,28,72,72,82,28,37,79,7,10,1,0,8,5,1,0,0,0,47,0,36,2.2777777778,2,0,16,8,0,1,0,0,33,0,36,3.5
Ruben Duarte,Deportivo Alaves,21,Defender,74,57,55,71,67,43,31,74,12,9,0,0,0,1,0,1,0,0,8,0,3,-0.6666666667,0,1,4,5,0,2,0,0,42,0,22,1.5454545455000002
Ruben Pardo,Real Sociedad,24,Defender,85,79,84,80,64,68,80,53,13,7,1,0,2,2,0,9,0,0,29,0,19,2.0526315789,0,7,6,7,0,8,0,0,34,0,28,2.7857142857
Ruben Vezo,Valencia CF,23,Defender,67,47,64,59,80,33,53,75,6,14,0,1,2,3,0,2,0,0,41,1,19,0.9473684211,0,0,3,2,0,0,0,0,15,0,15,2.1333333333
Ryan Bertrand,Southampton,27,Defender,76,77,70,79,77,63,51,79,13,15,2,4,12,3,0,1,0,0,36,0,28,3.6785714286,1,3,9,6,0,0,0,0,33,0,32,3.0625
Ryan Shawcross,Stoke City,29,Defender,63,42,69,54,80,31,50,79,12,15,1,1,9,6,0,0,0,0,53,2,35,2.1428571429,0,0,7,3,0,1,0,0,31,0,20,2.35
Sam Byram,West Ham United,23,Defender,70,72,65,72,68,65,68,69,9,13,0,1,3,6,0,2,0,0,35,0,18,1.1666666667,0,0,1,3,0,0,0,0,5,0,4,1.25
Samir,Udinese,22,Defender,63,48,46,67,77,30,42,76,11,14,0,1,5,3,0,4,0,0,24,0,21,2.6190476190000003,1,0,1,1,0,0,0,0,4,0,3,4.0
Samuel Umtiti,FC Barcelona,23,Defender,79,69,73,75,86,58,58,80,10,15,1,0,8,4,0,2,0,0,22,1,25,3.04,1,0,11,5,0,2,0,0,26,0,30,3.2666666667000004
Sandro Sirigu,SV Darmstadt 98,28,Defender,66,71,57,66,56,68,57,61,14,13,2,1,1,5,0,5,0,0,56,0,30,1.1333333333,0,2,0,0,0,1,0,0,8,0,6,2.1666666667
Santiago Gentiletti,Genoa,32,Defender,60,59,65,65,78,29,52,77,9,14,0,1,2,2,0,3,0,0,27,0,15,1.6666666666999999,0,0,6,10,0,0,0,0,28,1,19,1.7894736841999999
Sascha Riether,FC Schalke 04,34,Defender,73,68,66,71,72,54,55,72,12,8,0,0,0,0,0,0,0,0,8,0,5,1.0,0,0,4,3,0,0,0,0,25,1,17,1.7058823529
Scott Dann,Crystal Palace,30,Defender,63,38,65,63,79,36,55,76,10,9,3,1,2,2,0,1,0,0,37,0,23,2.3043478261000003,5,1,8,7,0,0,0,0,44,0,35,3.0285714286000003
Seamus Coleman,Everton,28,Defender,78,78,70,78,76,75,70,82,15,7,4,3,10,3,0,1,0,0,28,0,26,4.0769230769,1,4,7,4,0,4,0,0,38,1,28,2.7142857143
Sebastian Da Maio,Bologna,30,Defender,50,46,46,47,75,19,34,79,5,7,0,0,0,1,0,0,0,0,15,0,7,0.7142857143000001,1,1,6,6,0,3,0,0,36,1,28,2.2857142857
Sebastian Prodl,Watford,30,Defender,60,30,49,57,74,37,46,80,8,8,1,1,4,11,0,4,0,0,52,0,33,1.7272727273,2,0,5,5,0,0,0,0,29,0,21,2.4761904762
Sebastien Corchia,Sevilla FC,26,Defender,76,75,74,77,78,72,70,78,8,15,1,1,11,4,0,1,0,0,47,0,38,2.7368421052999996,2,2,11,6,0,4,0,0,25,0,33,3.5757575758
Serge Aurier,Tottenham Hotspur,24,Defender,76,76,72,77,76,74,71,77,10,9,0,3,10,4,0,1,0,0,21,1,22,3.4545454545,2,2,13,8,0,1,0,0,9,0,21,4.8095238095
