Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Bernardo Espinosa,Girona CF,27,Defender,73,40,61,63,74,33,49,75,15,12,0,0,3,2,0,1,0,0,13,0,11,2.4545454545,1,0,3,6,0,1,0,0,25,0,16,1.9375
Billy Jones,Sunderland,30,Defender,68,70,66,67,75,44,51,69,11,15,1,0,5,8,0,3,0,0,50,0,27,1.5185185184999999,1,1,2,8,0,2,0,0,48,0,24,1.2083333333
Bostjan Cesar,Chievo Verona,34,Defender,54,54,54,58,80,20,25,81,9,12,1,0,3,9,0,1,0,0,30,0,17,1.4705882353,1,0,9,10,0,0,0,0,37,0,31,2.4838709677
Boukary Drame,Atalanta,31,Defender,68,72,60,71,70,65,50,71,7,8,0,0,3,1,0,2,0,0,10,0,10,2.8,0,0,6,2,0,3,0,0,32,0,25,2.4
Brad Smith,Bournemouth,23,Defender,62,55,60,56,62,59,50,53,12,8,0,0,0,1,0,3,0,0,17,0,5,-1.0,0,0,0,2,0,0,0,0,7,0,4,0.5
Branislav Ivanovic,Zenit St. Petersburg,33,Defender,71,58,74,66,79,61,57,84,9,13,0,0,1,2,0,0,0,0,12,0,13,2.0,2,2,8,5,0,2,0,0,46,0,33,2.6666666667
Brendan Galloway,Sunderland,21,Defender,69,49,55,68,60,43,49,64,14,8,0,0,1,0,0,1,0,0,3,0,3,3.0,0,1,2,2,0,4,0,0,24,0,15,1.8666666666999998
Brou Angoua,New England Revolution,30,Defender,64,37,59,55,66,29,42,67,12,16,0,1,0,0,0,1,0,0,11,0,7,1.7142857143,1,0,2,4,0,0,0,0,30,0,18,1.6666666666999999
Bruno Peres,Roma,27,Defender,76,80,66,80,74,74,63,73,11,7,2,2,7,3,0,8,0,0,28,0,30,3.2,3,4,5,9,0,6,0,0,45,1,31,2.5161290323
Bryan Oviedo,Sunderland,27,Defender,68,75,64,73,69,66,66,73,12,16,0,0,3,4,0,3,0,0,31,0,16,1.375,0,1,3,0,0,4,0,0,22,0,14,2.2142857143
Calum Chambers,Arsenal,22,Defender,73,67,65,73,72,54,54,75,14,12,2,1,7,4,0,0,0,0,37,0,25,2.72,0,0,2,2,0,0,0,0,9,1,12,1.9166666666999999
Carl Jenkinson,Birmingham City,25,Defender,69,68,64,68,70,67,62,74,15,12,0,0,0,0,0,1,0,0,1,0,1,2.0,2,0,0,3,1,2,0,0,28,1,20,1.5
Carl Medjani,Medicana Sivasspor,32,Defender,68,59,68,59,68,55,55,70,15,13,0,0,1,2,0,1,0,0,18,0,8,0.75,1,0,3,1,0,0,0,0,25,0,14,2.1428571429
Carles Planas,Girona CF,26,Defender,70,63,58,72,75,57,47,74,11,14,0,0,3,3,0,2,0,0,14,0,12,2.25,0,2,4,4,0,3,0,0,43,0,26,1.6538461538
Carlos Martinez,Real Sociedad,31,Defender,73,64,71,74,78,53,63,76,6,7,0,2,3,2,0,1,0,0,13,0,10,3.1,0,2,1,2,0,1,0,0,12,0,10,2.2
Cesare Bovo,Pescara,34,Defender,66,58,70,63,76,33,34,75,10,14,0,0,3,6,0,0,0,0,20,0,14,1.7857142857,2,0,4,10,0,1,0,0,28,0,21,2.1904761905
Chaker Alhadhur,La Berrichonne de Chateauroux,25,Defender,66,57,55,62,67,37,43,67,15,9,0,0,0,0,0,0,0,0,2,0,1,0.0,0,0,1,2,0,1,0,0,15,0,10,1.5
Charlie Daniels,Bournemouth,30,Defender,73,74,69,74,71,71,71,72,16,7,4,3,10,1,0,0,0,0,53,0,34,3.1470588235,3,5,7,2,0,1,0,0,64,0,37,2.5945945946
Cheikh M'Bengue,AS Saint-Etienne,28,Defender,70,63,65,68,72,49,54,68,9,8,0,1,5,3,0,4,0,0,17,0,15,2.8666666667,1,0,3,2,0,2,0,0,29,0,23,2.1739130435
Chris Smalling,Manchester United,27,Defender,66,59,63,58,79,48,49,80,15,15,1,1,4,0,0,1,0,0,16,0,18,3.2222222222,0,1,17,8,0,0,0,0,31,1,35,3.3428571429000002
Christian Fuchs,Leicester City,31,Defender,76,70,75,75,76,72,73,74,12,13,2,4,8,10,0,2,0,0,57,0,36,2.4166666667,0,4,15,4,0,1,0,0,23,0,32,3.875
Christian Maggio,Napoli,35,Defender,74,70,72,77,67,74,58,65,5,9,0,0,3,0,0,1,0,0,3,0,7,3.7142857143,0,0,1,0,0,0,0,0,11,0,8,1.625
Christoph Janker,FC Augsburg,32,Defender,54,42,41,54,62,32,39,73,8,16,0,0,3,4,0,0,0,0,22,0,15,1.8,0,0,0,2,0,2,0,0,15,0,11,1.0
Claud Adjapong,Sassuolo,19,Defender,62,73,57,76,66,72,60,66,9,8,1,0,0,3,0,3,0,0,19,0,9,0.8888888889,0,0,0,0,0,0,0,0,4,0,2,0.0
Coke,FC Schalke 04,30,Defender,76,72,66,79,77,62,60,76,9,16,1,0,0,1,0,2,0,0,10,0,8,2.125,1,1,3,3,1,3,0,0,30,0,21,2.0952380952
Craig Cathcart,Watford,28,Defender,71,47,61,59,68,27,43,76,6,13,0,1,2,3,0,2,0,0,24,0,15,1.6666666666999999,1,0,10,3,0,1,0,0,48,1,35,2.4285714286
Craig Dawson,West Bromwich Albion,27,Defender,65,55,60,67,74,56,51,75,8,5,4,0,6,10,0,2,0,0,50,0,37,2.4054054054,4,0,10,3,0,1,0,0,48,1,38,2.9210526316000003
Cristian Ansaldi,Torino,30,Defender,77,80,76,78,75,65,73,78,15,8,0,1,2,8,0,7,0,0,27,0,21,1.7142857143,0,4,7,4,0,3,0,0,28,0,24,3.0833333332999997
