Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Sergio,RC Celta de Vigo,30,Goalkeeper,37,13,39,21,15,12,38,9,72,80,0,2,5,0,1,0,0,0,51,0,26,1.7307692308000002,0,0,7,1,0,0,0,0,49,0,31,2.0322580644999997
Sergio Asenjo,Villarreal CF,28,Goalkeeper,39,15,39,14,22,12,46,12,83,85,0,0,11,0,0,1,1,0,18,0,24,3.8333333332999997,0,0,2,1,0,0,0,0,5,0,4,3.0
Sergio Rico,Sevilla FC,23,Goalkeeper,23,14,23,12,23,11,45,18,80,83,0,0,12,0,0,0,1,0,45,0,35,2.8857142856999998,0,0,10,2,0,0,0,0,43,0,35,2.5714285714
Sergio Romero,Manchester United,30,Goalkeeper,39,12,48,40,21,11,55,14,76,82,0,0,2,0,0,0,1,0,0,0,2,8.5,0,0,3,0,0,0,0,0,2,0,4,4.75
Simon Mignolet,Liverpool,29,Goalkeeper,37,14,34,26,21,16,40,13,76,84,0,0,9,0,0,0,2,0,30,0,28,3.25,0,0,11,2,0,0,1,0,42,0,34,2.8235294118
Stefano Sorrentino,Chievo Verona,38,Goalkeeper,36,12,34,20,25,10,34,11,80,80,0,0,10,1,0,0,0,0,53,0,35,2.3142857143,0,0,9,1,0,1,0,0,59,0,35,2.0571428571
Stephane Ruffier,AS Saint-Etienne,30,Goalkeeper,33,12,34,15,25,12,49,11,84,87,0,0,11,0,0,0,2,0,37,0,31,3.1935483871,0,0,16,3,0,0,1,0,37,0,38,3.3421052632
Steve Mandanda,Olympique de Marseille,32,Goalkeeper,37,15,28,17,23,11,55,10,78,83,0,0,0,0,0,0,0,0,17,0,9,1.1111111111,0,0,9,5,0,0,1,0,40,0,36,2.6388888889
Sven Ulreich,FC Bayern Munich,28,Goalkeeper,33,13,33,22,14,8,29,13,73,78,0,0,2,0,0,0,0,0,4,0,5,3.4,0,0,0,0,0,0,0,0,1,0,1,1.0
Thibaut Courtois,Chelsea,25,Goalkeeper,32,13,31,23,15,13,44,11,91,88,0,0,16,1,0,0,0,0,28,0,36,3.5277777778,0,0,5,1,2,0,1,0,31,0,23,2.2173913043
Thomas Kessler,1. FC Koln,31,Goalkeeper,23,14,33,21,25,15,22,13,69,71,0,0,3,1,0,0,0,0,18,0,13,2.2307692308,0,0,0,0,0,0,0,0,2,0,1,1.0
Timo Horn,1. FC Koln,24,Goalkeeper,35,20,32,22,22,15,55,11,81,86,0,0,6,0,0,0,0,0,24,0,20,2.7,0,0,8,0,0,0,1,0,40,0,33,2.6666666667
Tom Mickel,Hamburger SV,28,Goalkeeper,31,13,30,21,22,13,15,14,62,66,0,0,0,0,0,0,0,0,4,0,1,-1.0,0,0,0,0,0,0,0,0,1,0,1,2.0
Vincent Enyeama,LOSC Lille,34,Goalkeeper,39,11,28,23,21,10,57,12,78,86,0,0,8,4,0,1,1,0,40,0,32,2.53125,0,0,17,4,1,0,0,0,25,0,35,3.5428571429000004
Vito Mannone,Reading,29,Goalkeeper,48,15,33,24,16,12,57,19,72,75,0,0,2,0,0,0,0,0,19,0,9,1.5555555556,0,0,4,2,0,0,0,0,23,0,19,2.3157894737
Wayne Hennessey,Crystal Palace,30,Goalkeeper,12,8,13,12,22,14,58,15,75,71,0,0,7,1,0,0,0,0,46,0,29,2.1034482759,0,0,8,1,0,0,0,0,36,1,29,2.4482758621
Willy Caballero,Chelsea,35,Goalkeeper,33,12,48,30,19,7,47,15,76,81,0,0,6,0,0,0,1,0,13,0,17,3.5882352941000004,0,0,1,0,0,0,0,0,6,0,4,2.0
Wojciech Szczesny,Juventus,27,Goalkeeper,32,11,36,22,15,14,48,11,77,87,0,0,14,0,0,0,2,0,38,0,38,3.3684210526,0,0,8,1,0,0,0,0,34,0,34,2.6764705882
Yann Sommer,Borussia Monchengladbach,28,Goalkeeper,40,15,31,25,21,15,58,11,82,83,0,0,10,1,0,0,1,0,49,0,34,2.5588235294,0,0,5,2,0,0,0,0,50,0,32,1.84375
Yoan Cardinale,OGC Nice,23,Goalkeeper,52,25,41,30,15,12,48,18,75,82,0,0,11,1,0,1,0,0,35,0,36,2.9444444444,0,0,9,3,0,1,0,0,28,0,26,2.8076923077
Yohann Pele,Olympique de Marseille,34,Goalkeeper,34,13,33,18,24,15,14,12,74,76,0,0,18,3,0,0,0,0,41,0,38,3.2631578947000004,0,0,0,0,0,0,0,0,4,0,3,1.6666666666999999
