Players,club,league,Position,short_passing,dribbling,long_passing,sprint_speed,interceptions,gk_diving,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16
Artur Ionita,Cagliari,Italian Serie A,Midfielder,77,74,74,69,74,6,3,1,0,5,0,3,0,0,0,0,18,2.5,4,2,0,1,0,6,0,0,0,0,31
Arturo Vidal,FC Bayern Munich,German Bundesliga,Midfielder,84,76,82,74,85,4,4,2,0,8,0,9,0,0,0,0,27,2.4444444444,4,5,0,3,0,10,0,0,0,0,30
Ashley R Westwood,Burnley,English Premier League,Midfielder,76,65,79,63,70,10,0,0,0,3,0,2,0,0,0,0,9,1.3333333333,2,2,0,6,0,3,0,0,0,0,32
Ashley Young,Manchester United,English Premier League,Midfielder,77,78,69,76,67,16,0,1,0,2,0,3,0,0,0,0,12,1.75,1,1,0,5,0,3,0,0,0,0,18
Assane Demoya Gnoukouri,Inter,Italian Serie A,Midfielder,74,68,73,65,67,12,0,0,0,0,0,0,0,0,0,0,4,1.0,0,0,0,0,0,1,0,0,0,0,2
Assane Diousse,AS Saint-Etienne,French Ligue 1,Midfielder,76,73,74,69,69,9,0,0,0,12,0,5,0,0,0,0,33,1.4242424241999998,0,0,0,3,0,6,0,0,0,0,16
Augusto Fernandez,Atletico Madrid,Spanish Primera Division,Midfielder,81,78,80,71,77,9,0,0,0,0,0,2,0,0,0,0,3,1.6666666666999999,1,1,0,9,0,9,0,0,0,0,27
Axel Ngando,Goztepe,Turkish Super Lig,Midfielder,71,76,63,66,37,14,0,2,0,1,0,6,0,0,0,0,20,1.75,2,1,0,3,0,10,0,0,0,0,22
Bakary Sako,Crystal Palace,English Premier League,Midfielder,67,76,63,74,40,13,0,0,0,0,0,0,0,0,0,0,7,1.0,2,1,0,1,0,8,0,0,0,0,20
Ben Watson,Watford,English Premier League,Midfielder,79,68,77,45,72,13,0,0,0,0,1,0,0,0,0,0,4,0.25,2,0,0,5,0,3,0,0,0,0,35
Benat,Athletic Club de Bilbao,Spanish Primera Division,Midfielder,85,73,86,52,70,16,1,5,0,9,0,14,0,0,0,0,32,2.21875,1,5,0,8,0,10,0,0,0,0,36
