Players,club,league,Position,short_passing,dribbling,long_passing,sprint_speed,interceptions,gk_diving,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16
Julian Draxler,Paris Saint-Germain,French Ligue 1,Midfielder,84,88,77,79,36,11,4,3,0,1,0,14,0,0,0,0,30,2.6923076923,6,5,0,5,1,10,0,0,0,0,24
Julian Korb,Hannover 96,German Bundesliga,Midfielder,76,76,54,69,70,12,0,0,0,0,0,0,0,0,0,0,10,1.5,1,1,0,4,0,5,0,0,0,0,17
Julian Weigl,Borussia Dortmund,German Bundesliga,Midfielder,89,73,83,67,86,6,0,0,0,2,0,5,0,0,0,0,30,1.8333333333000001,0,0,0,5,0,6,0,0,0,0,30
Julien Feret,SM Caen,French Ligue 1,Midfielder,76,70,75,45,57,12,2,3,0,1,0,3,0,0,0,0,35,2.5142857143,4,8,0,1,0,5,0,0,0,0,38
Junior Stanislas,Bournemouth,English Premier League,Midfielder,73,73,65,83,60,13,7,5,0,1,0,12,0,0,0,0,21,4.1904761905,3,2,0,1,0,9,0,0,0,0,21
Juraj Kucka,Trabzonspor,Turkish Super Lig,Midfielder,78,77,78,69,80,14,3,2,0,10,1,5,0,0,0,1,30,1.9333333333000002,1,3,0,10,0,9,0,0,0,0,30
Karim Bellarabi,Bayer 04 Leverkusen,German Bundesliga,Midfielder,80,87,59,92,38,10,2,6,0,4,0,7,0,0,0,0,16,3.375,6,11,0,5,0,15,0,0,0,0,33
Keisuke Honda,Pachuca,Mexican Liga MX,Midfielder,80,83,82,76,44,3,1,0,0,0,0,1,0,0,0,0,7,1.8571428571000002,1,3,0,2,0,12,0,0,0,0,30
Keko,Malaga CF,Spanish Primera Division,Midfielder,77,83,76,78,59,15,0,3,0,6,0,13,0,0,0,0,22,1.7272727273,3,3,0,5,0,10,0,0,0,0,29
Kenedy,Chelsea,English Premier League,Midfielder,66,77,65,78,52,11,0,0,0,0,0,1,0,0,0,0,2,1.5,1,0,0,0,0,3,0,0,0,0,14
Kevin De Bruyne,Manchester City,English Premier League,Midfielder,90,85,84,75,56,15,6,18,0,4,0,11,0,1,0,0,36,4.0833333333,7,11,0,3,0,5,0,0,0,0,27
Kevin Kampl,RB Leipzig,German Bundesliga,Midfielder,84,84,78,75,74,13,1,2,0,4,0,1,0,0,0,0,30,2.1666666667,3,2,0,4,0,2,0,0,0,0,23
Kevin Stewart,Hull City,English Championship,Midfielder,76,63,65,72,71,13,0,0,0,0,0,0,0,0,0,0,4,1.0,0,0,0,1,0,0,0,0,0,0,7
Kevin Strootman,Roma,Italian Serie A,Midfielder,86,76,83,68,84,7,4,7,0,6,0,3,0,0,0,0,33,3.0,0,1,0,1,0,1,0,0,0,0,5
Kevin Vogt,TSG 1899 Hoffenheim,German Bundesliga,Midfielder,74,67,83,85,82,6,0,0,0,6,0,3,0,0,0,0,31,1.7741935484,0,2,0,5,0,8,0,0,0,0,23
Kevin-Prince Boateng,Eintracht Frankfurt,German Bundesliga,Midfielder,80,79,77,73,67,6,10,4,0,11,1,12,0,0,0,0,28,3.6071428571,1,0,0,1,0,1,0,0,0,0,11
Kingsley Coman,FC Bayern Munich,German Bundesliga,Midfielder,74,84,62,92,23,5,2,1,0,1,0,7,0,0,0,0,19,2.1578947368,4,6,0,0,0,8,0,0,0,0,24
Kwadwo Asamoah,Juventus,Italian Serie A,Midfielder,79,82,79,76,78,5,0,1,0,2,0,0,0,0,0,0,18,1.9444444444,0,1,0,1,0,4,0,0,0,0,11
Lars Bender,Bayer 04 Leverkusen,German Bundesliga,Midfielder,79,72,74,69,87,12,0,1,0,4,0,7,0,0,0,0,9,1.8888888889,1,1,0,3,0,4,0,0,0,0,11
Laszlo Kleinheisler,Free Agent,Rest Of The World,Midfielder,71,72,59,69,49,7,1,1,0,0,0,8,0,0,0,0,12,2.5,0,0,0,0,0,1,0,0,0,0,6
Leandro Paredes,Zenit St. Petersburg,Russian Premier League,Midfielder,84,78,81,69,72,9,3,1,0,4,0,2,0,0,0,0,27,2.0740740741,2,1,0,11,0,11,0,0,0,0,33
Lee Cattermole,Sunderland,English Championship,Midfielder,72,64,75,65,75,11,0,0,0,4,0,7,0,0,0,0,8,1.5,0,0,0,8,0,11,0,0,0,0,31
Lenny Nangis,Valenciennes FC,French Ligue 2,Midfielder,68,70,59,82,19,12,0,2,0,8,0,10,0,0,0,0,30,1.3333333333,0,2,0,3,0,6,0,0,0,0,14
Leo Dubois,FC Nantes,French Ligue 1,Midfielder,77,75,76,68,74,13,0,7,0,2,0,2,0,0,0,1,36,2.4166666667,0,0,0,3,0,1,0,0,0,0,25
Leon Britton,Swansea City,English Premier League,Midfielder,85,76,79,46,73,10,0,0,0,3,0,13,0,0,0,0,16,1.8125,0,0,0,4,0,12,0,0,0,0,25
Leon Goretzka,FC Schalke 04,German Bundesliga,Midfielder,84,80,79,85,82,13,5,1,0,2,0,6,0,0,0,0,30,2.8666666667,1,3,0,5,0,6,0,0,0,0,25
Leonardo Bittencourt,1. FC Koln,German Bundesliga,Midfielder,79,82,71,79,52,15,3,5,0,3,0,11,0,0,0,0,16,3.4375,3,4,0,2,1,18,0,0,0,0,29
Leroy Fer,Swansea City,English Premier League,Midfielder,79,78,76,72,70,9,6,2,0,9,0,7,0,0,0,0,34,2.5882352941,0,2,0,2,0,4,0,0,0,0,11
Leroy Sane,Manchester City,English Premier League,Midfielder,75,87,64,94,32,8,5,3,0,4,0,12,0,0,0,0,26,2.9230769231,8,6,0,4,0,9,0,0,0,0,33
Levin Oztunali,1. FSV Mainz 05,German Bundesliga,Midfielder,69,82,68,88,54,10,4,6,0,1,0,12,0,0,0,0,30,3.0,1,3,0,2,0,13,0,0,0,0,25
Lewis Holtby,Hamburger SV,German Bundesliga,Midfielder,80,78,77,67,71,12,1,6,0,4,1,9,0,0,0,1,29,2.4482758621,3,2,0,4,0,11,0,0,0,0,34
Lindsay Rose,FC Lorient,French Ligue 2,Midfielder,65,62,57,69,69,9,0,0,0,2,0,0,0,0,0,0,12,1.6666666666999999,0,0,0,1,0,0,0,0,0,0,11
Loic Perrin,AS Saint-Etienne,French Ligue 1,Midfielder,74,62,77,69,82,6,4,1,0,1,0,2,0,0,0,0,27,2.7777777778,3,1,0,0,1,1,0,0,0,0,24
Lorenzo Crisetig,Bologna,Italian Serie A,Midfielder,78,72,76,60,73,4,0,1,0,12,0,4,0,0,0,0,32,1.625,0,0,0,1,0,2,0,0,0,0,5
Lorenzo Pellegrini,Roma,Italian Serie A,Midfielder,82,76,79,75,70,12,6,7,0,7,1,14,0,0,0,0,28,3.3214285714,3,0,0,5,0,8,0,0,0,0,19
Luca Cigarini,Cagliari,Italian Serie A,Midfielder,82,71,82,65,70,11,0,0,0,3,0,1,0,0,0,0,4,1.0,2,2,0,10,0,7,0,0,0,0,24
Luca Rigoni,Genoa,Italian Serie A,Midfielder,78,70,76,69,73,15,4,1,0,13,0,12,0,0,0,0,31,2.2580645161,3,0,0,5,0,11,0,0,0,0,28
Luca Rizzo,Ferrara (SPAL),Italian Serie A,Midfielder,76,78,74,78,64,6,0,0,0,0,0,4,0,0,0,0,13,1.3846153846,0,2,0,3,0,10,0,0,0,0,23
Lucas Biglia,Milan,Italian Serie A,Midfielder,86,77,84,68,84,14,4,3,0,8,0,12,0,1,0,0,29,2.6206896552,4,2,0,10,0,3,0,0,0,0,27
Lucas Castro,Chievo Verona,Italian Serie A,Midfielder,80,80,76,78,73,6,5,6,0,5,0,8,0,0,0,0,32,3.1875,3,0,0,9,0,4,0,0,0,0,34
Lucas Deaux,En Avant de Guingamp,French Ligue 1,Midfielder,76,65,76,63,73,7,2,5,0,4,0,8,0,0,0,0,38,2.4736842105,0,0,0,3,0,3,0,0,0,0,16
Lucas Leiva,Lazio,Italian Serie A,Midfielder,77,69,72,41,84,10,0,3,0,4,0,3,0,0,0,0,24,1.7083333333000001,0,1,0,8,0,4,0,0,0,0,27
Lucas Ocampos,Olympique de Marseille,French Ligue 1,Midfielder,76,79,69,78,55,11,3,1,0,5,0,13,0,0,0,0,27,2.1111111111,1,1,0,0,0,4,0,0,0,0,17
Lucas Tousart,Olympique Lyonnais,French Ligue 1,Midfielder,77,71,73,69,78,11,1,1,0,1,0,2,0,0,0,0,22,2.0909090909,0,0,0,0,0,1,0,0,0,0,1
Lucas Vazquez,Real Madrid CF,Spanish Primera Division,Midfielder,81,82,75,82,44,9,2,8,0,4,0,4,0,0,0,0,33,2.2727272727,4,4,0,3,0,3,0,0,0,0,24
Ludovic Blas,En Avant de Guingamp,French Ligue 1,Midfielder,75,79,69,66,56,12,1,1,0,5,0,3,0,0,0,0,25,1.52,1,2,0,1,0,5,0,0,0,0,14
Luis Alberto,Lazio,Italian Serie A,Midfielder,83,80,75,63,28,6,1,2,0,0,0,3,0,0,0,0,8,2.75,6,7,0,3,0,12,0,0,0,0,29
Luiz Gustavo,Olympique de Marseille,French Ligue 1,Midfielder,77,68,75,64,83,10,0,0,0,7,0,1,0,0,0,0,27,1.7037037037,1,2,0,9,0,6,0,0,0,0,22
Luka Modric,Real Madrid CF,Spanish Primera Division,Midfielder,92,86,83,71,76,13,1,2,0,2,0,8,0,0,0,0,25,2.24,2,4,0,4,0,11,0,0,0,0,32
Lukas Frode,MSV Duisburg,German 2. Bundesliga,Midfielder,64,58,68,51,61,10,0,0,0,0,0,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,8
Lukas Rupp,TSG 1899 Hoffenheim,German Bundesliga,Midfielder,79,78,74,73,64,9,2,0,0,2,0,4,0,0,0,0,14,2.1428571429,5,4,0,4,0,10,0,0,0,0,29
Mahmoud Dahoud,Borussia Dortmund,German Bundesliga,Midfielder,87,81,78,69,67,14,2,5,0,3,0,9,0,0,0,0,28,2.7142857143,5,8,0,4,0,23,0,0,0,0,32
Makoto Hasebe,Eintracht Frankfurt,German Bundesliga,Midfielder,77,67,76,61,77,10,1,1,0,2,0,1,0,1,0,0,21,2.1428571429,1,2,0,9,0,7,0,0,0,0,32
Manu Garcia,Deportivo Alaves,Spanish Primera Division,Midfielder,75,59,69,64,79,8,3,1,0,8,0,3,0,0,0,0,25,2.32,0,0,0,0,0,0,0,0,0,0,1
Manuel Lanzini,West Ham United,English Premier League,Midfielder,80,87,78,80,23,14,8,2,0,9,0,13,0,0,0,0,35,2.9428571429000003,6,2,0,3,0,13,0,0,0,0,26
Manuel Locatelli,Milan,Italian Serie A,Midfielder,78,75,72,68,75,11,2,1,0,7,0,4,0,0,0,0,24,1.9166666666999999,0,0,0,1,0,0,0,0,0,0,2
Marc Albrighton,Leicester City,English Premier League,Midfielder,69,77,73,79,56,15,2,6,0,5,0,17,0,0,0,0,33,2.5757575758,2,6,0,4,0,22,0,0,0,0,38
Marc Pugh,Bournemouth,English Premier League,Midfielder,69,77,59,69,37,14,2,2,0,1,0,10,0,0,0,0,21,2.4761904762,3,2,0,1,0,10,0,0,0,0,26
Marc Stendera,Eintracht Frankfurt,German Bundesliga,Midfielder,76,76,69,66,54,7,0,0,0,0,0,2,0,0,0,0,2,2.0,2,1,0,8,0,11,0,0,0,0,27
Marcel Buchel,Hellas Verona,Italian Serie A,Midfielder,76,74,72,73,70,8,0,0,0,5,0,7,0,0,0,0,15,1.3333333333,2,1,0,10,0,12,0,0,0,0,28
Marcel Hartel,1. FC Union Berlin,German 2. Bundesliga,Midfielder,69,73,57,68,35,14,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,6
Marcel Heller,FC Augsburg,German Bundesliga,Midfielder,69,78,52,93,20,15,3,3,0,2,0,5,0,0,0,0,32,2.65625,6,5,0,7,0,10,0,0,0,0,33
Marcel Risse,1. FC Koln,German Bundesliga,Midfielder,74,77,72,79,72,11,2,4,0,1,0,2,0,0,0,0,13,3.6153846154,3,5,0,5,0,2,0,0,0,0,33
Marcello Gazzola,Sassuolo,Italian Serie A,Midfielder,64,64,60,69,74,5,0,1,0,3,0,3,0,0,0,0,16,2.0,0,1,0,1,0,0,0,0,0,0,9
Marcelo Brozovic,Inter,Italian Serie A,Midfielder,83,81,81,74,72,8,4,1,0,7,0,4,0,0,0,0,23,2.5652173913,4,5,0,7,0,4,0,0,0,0,31
Marco Asensio,Real Madrid CF,Spanish Primera Division,Midfielder,86,83,81,82,45,13,3,2,0,0,0,6,0,0,0,0,23,2.3913043478000002,4,10,0,3,0,9,0,0,0,0,34
Marco Benassi,Fiorentina,Italian Serie A,Midfielder,82,78,76,68,75,11,5,2,0,5,0,14,0,0,0,0,28,2.7857142857,3,2,0,7,0,14,0,0,0,0,32
Marco D'Alessandro,Benevento Calcio,Italian Serie A,Midfielder,66,71,55,90,21,14,1,1,0,2,0,2,0,0,0,0,23,1.4347826087,3,2,0,3,0,5,0,0,0,0,22
Marco Fabian,Eintracht Frankfurt,German Bundesliga,Midfielder,80,81,75,69,34,14,7,4,0,10,0,4,0,1,0,0,24,3.4166666667000003,0,2,0,1,0,4,0,0,0,0,11
Marco Hoger,1. FC Koln,German Bundesliga,Midfielder,77,74,73,54,81,6,0,1,0,7,0,11,0,0,0,0,30,1.6666666666999999,0,0,0,2,0,3,0,0,0,0,5
Marco Parolo,Lazio,Italian Serie A,Midfielder,80,75,83,74,80,13,5,1,0,10,0,4,0,0,0,0,35,2.5142857143,3,0,0,9,0,5,0,0,0,0,31
Marco Reus,Borussia Dortmund,German Bundesliga,Midfielder,86,86,80,90,50,12,7,4,0,2,0,10,0,0,0,0,17,4.5882352941,12,3,0,2,0,17,0,1,0,0,26
Marco Verratti,Paris Saint-Germain,French Ligue 1,Midfielder,90,90,89,62,86,12,3,5,0,6,0,11,0,0,0,0,28,2.75,0,3,0,2,0,5,0,0,0,1,18
Marcos Llorente,Real Madrid CF,Spanish Primera Division,Midfielder,84,68,81,54,80,13,0,2,0,5,0,0,0,0,0,0,32,2.0,0,0,0,0,0,0,0,0,0,0,2
Marcus Coco,En Avant de Guingamp,French Ligue 1,Midfielder,76,79,65,88,50,12,4,2,0,7,0,18,0,0,0,0,34,2.4705882353,1,2,0,6,0,15,0,0,0,0,30
Marek Hamsik,Napoli,Italian Serie A,Midfielder,88,86,82,75,72,8,12,10,0,1,0,19,0,0,0,0,38,4.3157894737,6,10,0,0,0,18,0,1,0,0,38
Mario Gotze,Borussia Dortmund,German Bundesliga,Midfielder,85,88,79,66,66,14,1,1,0,1,0,5,0,0,0,0,11,2.4545454545,3,4,0,1,0,4,0,0,0,0,14
Mario Lemina,Southampton,English Premier League,Midfielder,81,80,77,78,70,12,1,1,0,1,0,1,0,0,0,0,19,1.7894736841999999,2,0,0,5,0,3,0,0,0,0,13
Mario Pasalic,Spartak Moscow,Russian Premier League,Midfielder,78,77,74,66,72,11,5,1,0,5,0,8,0,0,0,0,24,2.7916666667000003,3,0,0,1,0,6,0,0,0,0,16
Mario Vrancic,Norwich City,English Championship,Midfielder,74,75,74,53,58,12,4,2,0,2,0,9,0,0,0,0,23,2.8260869564999997,2,1,0,2,0,11,0,0,0,0,22
Mark Noble,West Ham United,English Premier League,Midfielder,76,74,77,47,73,7,3,0,0,10,0,11,0,1,0,0,30,2.0666666666999998,7,4,0,8,1,9,0,0,0,0,37
Marko Arnautovic,West Ham United,English Premier League,Midfielder,79,84,74,78,53,14,6,5,0,9,1,11,0,1,0,0,32,2.96875,11,7,0,2,0,14,0,0,0,0,34
Marouane Fellaini,Manchester United,English Premier League,Midfielder,81,73,66,54,76,8,1,0,0,9,1,4,0,0,0,0,28,1.3928571428999998,1,0,0,2,0,6,0,0,0,0,18
Marten de Roon,Atalanta,Italian Serie A,Midfielder,75,65,73,69,81,14,4,0,0,8,0,5,0,0,0,0,33,2.3333333333,1,2,0,10,0,6,0,0,0,0,36
Marvin Martin,Stade de Reims,French Ligue 2,Midfielder,72,70,72,64,68,16,0,1,0,0,0,4,0,0,0,0,13,1.5384615385,0,1,0,1,0,4,0,0,0,0,12
Marvin Plattenhardt,Hertha BSC Berlin,German Bundesliga,Midfielder,78,75,69,77,71,15,3,3,0,3,0,0,0,0,0,0,27,2.7777777778,2,4,0,5,0,0,0,0,0,0,33
Massimo Gobbi,Chievo Verona,Italian Serie A,Midfielder,71,61,71,68,75,7,1,2,0,5,0,3,0,0,0,0,30,2.2,0,1,0,7,0,1,0,0,0,0,34
Mateo Kovacic,Real Madrid CF,Spanish Primera Division,Midfielder,87,88,82,77,70,9,1,3,0,2,0,10,0,0,0,0,26,2.1538461538,0,2,0,3,1,5,0,0,0,0,25
Mathieu Bodmer,Amiens SC Football,French Ligue 1,Midfielder,78,75,76,34,68,11,0,1,0,4,0,7,0,0,0,0,22,1.6363636363999998,1,1,0,4,0,3,0,0,0,0,20
Matias Fernandez,Necaxa,Mexican Liga MX,Midfielder,78,83,76,73,60,11,1,2,0,1,0,6,0,0,0,0,13,2.3846153846,1,3,0,4,0,4,0,0,0,0,22
Matias Kranevitter,Zenit St. Petersburg,Russian Premier League,Midfielder,77,70,72,71,82,12,0,0,0,6,0,4,0,0,0,0,21,1.380952381,0,0,0,1,0,1,0,0,0,0,8
Matias Vecino,Inter,Italian Serie A,Midfielder,80,74,76,68,78,4,3,4,0,7,0,2,0,0,0,0,32,2.46875,2,1,0,8,0,5,0,0,0,0,30
Mato Jajalo,Palermo,Italian Serie B,Midfielder,75,71,75,68,73,9,1,1,0,5,0,10,0,0,0,0,25,1.96,0,1,0,8,0,6,0,0,0,0,28
Matthias Lehmann,1. FC Koln,German Bundesliga,Midfielder,80,65,75,32,78,12,0,2,0,7,0,3,0,0,0,0,21,1.9523809524000002,0,2,0,7,0,3,0,0,0,0,32
Maurice Multhaup,FC Ingolstadt 04,German 2. Bundesliga,Midfielder,58,68,52,76,49,14,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,4
Mauro Arambarri,Getafe CF,Spanish Primera Division,Midfielder,75,69,71,59,62,7,0,1,0,0,0,0,0,0,0,0,4,1.75,0,0,0,1,0,2,0,0,0,0,5
Max Christiansen,FC Ingolstadt 04,German 2. Bundesliga,Midfielder,68,61,67,64,67,15,0,0,0,2,0,3,0,0,0,0,12,1.25,0,1,0,3,0,6,0,0,0,0,19
Max Gradel,Toulouse FC,French Ligue 1,Midfielder,74,82,64,85,51,11,0,0,0,3,0,0,0,0,0,0,11,0.7272727273,1,2,0,1,0,11,0,0,0,0,14
Max Meyer,FC Schalke 04,German Bundesliga,Midfielder,81,84,72,67,41,8,1,1,0,4,0,10,0,0,0,0,27,1.8148148147999998,5,6,0,4,0,18,0,0,0,0,32
Maxime Barthelme,La Berrichonne de Chateauroux,French Ligue 2,Midfielder,73,72,64,74,64,8,0,1,0,1,0,2,0,0,0,0,9,1.5555555556,0,5,0,0,0,16,0,0,0,0,24
Maxime Gonalons,Roma,Italian Serie A,Midfielder,78,67,75,66,83,11,1,1,0,7,1,5,0,0,0,0,31,1.9032258065,0,0,0,5,0,2,0,0,0,1,33
Maximilian Arnold,VfL Wolfsburg,German Bundesliga,Midfielder,79,78,78,67,75,11,2,3,0,9,0,5,0,0,0,0,32,2.1875,3,1,0,4,0,7,0,0,0,0,31
Memphis Depay,Olympique Lyonnais,French Ligue 1,Midfielder,73,84,63,87,31,8,5,8,0,2,0,6,0,0,0,0,21,2.6691176471,2,0,0,2,0,6,0,0,0,0,29
Mesut Ozil,Arsenal,English Premier League,Midfielder,89,86,84,68,24,6,8,9,0,2,0,8,0,0,0,0,33,3.9393939394,6,19,0,4,0,14,0,0,0,0,35
Michael Carrick,Manchester United,English Premier League,Midfielder,87,71,85,44,81,13,0,0,0,2,0,4,0,0,0,0,23,1.6956521739,0,0,0,4,0,7,0,0,0,0,28
Michael Krohn-Dehli,Sevilla FC,Spanish Primera Division,Midfielder,80,77,81,66,75,10,0,0,0,0,0,2,0,0,0,0,1,2.0,1,3,0,3,0,3,0,0,0,0,27
Michail Antonio,West Ham United,English Premier League,Midfielder,73,83,67,87,40,12,9,3,0,5,0,6,0,0,0,0,29,3.6896551724,8,3,0,3,0,8,0,0,0,0,26
Mijat Gacinovic,Eintracht Frankfurt,German Bundesliga,Midfielder,74,80,67,78,55,8,2,0,0,9,0,14,0,0,0,0,28,1.9642857143,0,0,0,1,0,4,0,0,0,0,7
Mikel Rico,Athletic Club de Bilbao,Spanish Primera Division,Midfielder,77,60,73,48,79,15,1,0,0,4,0,1,0,0,0,0,18,1.2777777778,1,1,0,2,1,5,0,0,0,0,17
Milan Badelj,Fiorentina,Italian Serie A,Midfielder,82,70,82,60,80,8,2,2,0,9,0,10,0,0,0,0,32,2.09375,1,1,0,8,0,10,0,0,0,0,27
Mile Jedinak,Aston Villa,English Championship,Midfielder,67,55,65,51,80,13,0,0,0,0,0,0,0,0,0,0,1,2.0,0,0,0,6,0,2,0,0,0,0,27
Milos Jojic,1. FC Koln,German Bundesliga,Midfielder,78,77,76,72,66,10,4,4,0,2,0,9,0,0,0,0,19,3.2631578947000004,2,0,0,2,0,2,0,0,0,0,15
Miralem Pjanic,Juventus,Italian Serie A,Midfielder,89,86,85,74,74,7,5,9,0,5,0,10,0,0,0,0,31,3.2903225806,10,12,0,11,1,5,0,0,0,1,33
Mirko Valdifiori,Torino,Italian Serie A,Midfielder,84,73,86,62,75,13,0,1,0,5,0,10,0,0,0,0,25,1.84,0,0,0,3,0,3,0,0,0,0,6
Mitchell Weiser,Hertha BSC Berlin,German Bundesliga,Midfielder,79,85,68,84,75,13,2,4,0,2,0,4,0,0,0,0,17,2.8823529412,2,4,0,7,0,4,0,0,0,0,29
Mohamed Elneny,Arsenal,English Premier League,Midfielder,79,68,73,61,76,7,0,1,0,1,0,6,0,0,0,0,14,1.7142857143,0,1,0,3,0,4,0,0,0,0,11
Moises Gomez,Real Sporting de Gijon,Spanish Segunda Division,Midfielder,79,76,69,69,51,12,2,5,0,4,0,16,0,0,0,0,26,2.7307692308,2,3,0,3,0,6,0,0,0,0,22
Momo,UD Las Palmas,Spanish Primera Division,Midfielder,79,75,73,59,55,11,3,0,0,4,0,8,0,0,0,0,23,2.0,0,3,0,3,0,11,0,0,0,0,23
Morgan Amalfitano,Stade Rennais FC,French Ligue 1,Midfielder,75,73,72,68,62,7,1,0,0,0,0,7,0,0,0,0,22,1.8636363636000002,1,0,0,2,0,4,0,0,0,0,15
Morgan Sanson,Olympique de Marseille,French Ligue 1,Midfielder,82,81,80,75,80,6,4,14,0,3,0,6,0,0,0,0,36,3.5833333332999997,3,0,0,1,0,3,0,0,0,0,14
Morgan Schneiderlin,Everton,English Premier League,Midfielder,86,74,80,68,84,6,1,0,0,2,0,2,0,0,0,0,17,1.8823529412,1,1,0,3,0,4,0,0,0,0,29
Moritz Leitner,FC Augsburg,German Bundesliga,Midfielder,76,79,73,72,66,15,0,0,0,0,0,0,0,0,0,0,8,1.1666666667,0,1,0,0,0,1,0,0,0,0,9
Mouhamadou Dabo,SM Caen,French Ligue 1,Midfielder,67,65,63,72,72,14,0,0,0,1,0,1,0,0,0,0,2,1.5,0,0,0,3,1,4,0,0,0,0,17
Moussa Dembele,Tottenham Hotspur,English Premier League,Midfielder,86,87,80,77,80,16,1,1,0,5,0,16,0,0,0,0,30,1.9,3,1,0,3,0,10,0,0,0,0,29
Moussa Sissoko,Tottenham Hotspur,English Premier League,Midfielder,79,78,74,78,76,14,0,2,0,3,0,7,0,0,0,0,25,1.44,1,7,0,3,0,6,0,0,0,0,37
Mubarak Wakaso,Deportivo Alaves,Spanish Primera Division,Midfielder,74,73,69,89,69,10,1,1,0,7,0,3,0,0,0,0,11,2.0,1,0,0,11,0,4,0,0,0,0,20
N'Golo Kante,Chelsea,English Premier League,Midfielder,84,77,79,80,91,15,1,1,0,9,0,1,0,0,0,0,35,1.9714285714,1,5,0,3,0,2,0,0,0,0,37
Nabil Bahoui,Grasshopper Club Zurich,Swiss Super League,Midfielder,66,76,63,77,23,10,0,0,0,0,0,1,0,0,0,0,1,2.0,0,0,0,1,0,2,0,0,0,0,6
Nabil Bentaleb,FC Schalke 04,German Bundesliga,Midfielder,86,84,76,68,78,9,5,4,0,11,0,9,0,0,0,0,32,2.6875,0,0,0,1,0,1,0,0,0,0,5
Nabil Dirar,Fenerbahce SK,Turkish Super Lig,Midfielder,77,82,67,79,53,6,1,3,0,2,0,1,0,0,0,0,18,2.1111111111,2,9,0,2,1,11,0,0,0,0,20
Nabil Fekir,Olympique Lyonnais,French Ligue 1,Midfielder,80,88,72,80,28,15,9,4,0,5,1,18,0,0,0,0,31,3.4516129032,4,1,0,1,0,2,0,0,0,0,9
Nacer Chadli,West Bromwich Albion,English Premier League,Midfielder,77,83,68,78,43,12,5,5,0,2,0,19,0,0,0,0,31,3.0967741935000004,3,2,0,1,0,5,0,0,0,0,29
Nadiem Amiri,TSG 1899 Hoffenheim,German Bundesliga,Midfielder,79,83,73,69,60,12,2,4,0,2,0,14,0,0,0,0,33,2.2121212121,4,4,0,4,0,9,0,0,0,0,25
Nahuel,CD Tenerife,Spanish Segunda Division,Midfielder,59,65,38,78,56,13,0,0,0,0,1,0,0,0,0,0,10,0.7,0,1,0,4,0,7,0,0,0,0,20
Nampalys Mendy,OGC Nice,French Ligue 1,Midfielder,79,70,73,70,74,14,0,0,0,1,0,3,0,0,0,0,4,1.75,1,1,0,2,1,0,0,0,0,0,42
Nathan Dyer,Swansea City,English Premier League,Midfielder,74,80,65,82,35,12,0,1,0,0,0,2,0,0,0,0,8,1.75,1,1,0,1,0,0,0,0,0,0,13
Nathan Redmond,Southampton,English Premier League,Midfielder,72,83,63,86,22,12,7,1,0,2,1,11,0,0,0,0,37,2.7567567568,6,4,0,0,0,6,0,0,0,0,35
Nemanja Matic,Manchester United,English Premier League,Midfielder,83,72,81,66,85,7,1,7,0,4,0,7,0,0,0,0,35,2.4857142857,2,2,0,5,0,8,0,0,0,0,33
Nemanja Radoja,RC Celta de Vigo,Spanish Primera Division,Midfielder,77,71,78,44,81,11,1,0,0,3,0,6,0,0,0,0,31,1.935483871,0,1,0,5,0,7,0,0,0,0,30
Nico Schulz,TSG 1899 Hoffenheim,German Bundesliga,Midfielder,73,75,63,86,68,13,1,2,0,1,0,0,0,0,0,0,12,2.1666666667,0,0,0,0,0,0,0,0,0,0,2
Nicola Rigoni,Chievo Verona,Italian Serie A,Midfielder,78,71,76,66,73,4,1,0,0,2,0,2,0,0,0,0,12,1.6666666666999999,3,1,0,7,0,6,0,0,0,0,28
Nicolai Muller,Hamburger SV,German Bundesliga,Midfielder,71,85,66,87,48,6,5,6,0,4,0,9,0,0,0,0,25,3.44,9,4,0,6,0,17,0,0,0,0,29
Nicolas Benezet,En Avant de Guingamp,French Ligue 1,Midfielder,72,73,62,77,28,7,1,1,0,0,0,3,0,0,0,0,5,3.2,4,4,0,3,0,8,0,0,0,0,19
Nicolas Janvier,Stade Rennais FC,French Ligue 1,Midfielder,65,60,61,61,30,12,0,0,0,0,0,1,0,0,0,0,4,1.25,0,0,0,0,0,0,0,0,0,0,3
Nikola Ninkovic,Empoli,Italian Serie B,Midfielder,70,72,63,68,20,13,2,1,0,3,0,4,0,0,0,0,17,1.8823529412,0,0,0,0,0,0,0,0,0,0,1
Nuri Sahin,Borussia Dortmund,German Bundesliga,Midfielder,84,80,87,50,81,13,0,0,0,1,0,3,0,0,0,0,5,1.6,0,2,0,1,0,3,0,0,0,0,9
